,Household,Homestead,Cropland,Aquaculture land,Other
1228,1_799_381,6.0,48.0,0,0
1229,1_799_383,2.0,60.0,0,0
1230,1_799_386,7.0,96.0,0,0
1231,1_799_388,14.0,148.0,0,0
1233,1_799_394,24.0,600.0,0,0
1234,1_799_396,46.0,72.0,0,0
1235,1_799_399,24.0,144.0,0,0
1237,1_799_401,17.0,168.0,0,0
1240,1_799_406,25.0,73.0,0,0
1242,1_799_41,8.0,120.0,0,0
1243,1_799_412,6.0,72.0,0,0
1245,1_799_417,8.0,122.0,0,0
1246,1_799_419,8.0,96.0,0,0
1247,1_799_422,48.0,240.0,0,0
1248,1_799_427,30.0,30.0,0,0
1251,1_799_430,5.0,40.0,0,0
1253,1_799_435,3.0,30.0,0,0
1255,1_799_440,16.0,151.0,0,0
1256,1_799_443,6.0,144.0,0,0
1257,1_799_445,12.0,181.0,34.0,0
1258,1_799_448,6.0,48.0,0,0
1259,1_799_451,2.0,240.0,0,0
1261,1_799_456,1.0,18.0,0,0
1264,1_799_461,3.0,96.0,0,0
1265,1_799_464,4.0,48.0,0,0
1266,1_799_466,41.0,1448.0,60.0,0
1267,1_799_469,20.0,121.0,0,0
1268,1_799_471,20.0,150.0,0,0
1269,1_799_474,6.0,104.0,30.0,0
1270,1_799_477,14.0,156.0,0,0
1271,1_799_479,5.0,48.0,0,0
1272,1_799_48,24.0,144.0,0,0
1273,1_799_482,10.0,48.0,0,0
1275,1_799_487,8.0,37.0,0,0
1276,1_799_490,8.0,72.0,0,0
1278,1_799_495,8.0,96.0,0,0
1279,1_799_497,9.0,150.0,0,0
1280,1_799_501,3.0,48.0,0,0
1282,1_799_505,12.0,288.0,0,0
1283,1_799_508,10.0,59.0,0,0
1284,1_799_51,2.0,100.0,0,0
1285,1_799_510,29.0,93.0,250.0,0
1287,1_799_515,6.0,30.0,0,0
1288,1_799_518,20.0,33.0,0,0
1289,1_799_55,12.0,115.0,0,0
1291,1_799_59,6.0,48.0,0,0
1292,1_799_60,8.0,96.0,0,0
1295,1_799_7,20.0,96.0,0,0
1297,1_799_72,10.0,48.0,0,0
1299,1_799_77,8.0,144.0,0,0
1300,1_799_80,8.0,96.0,0,0
1302,1_799_85,7.0,96.0,0,0
1304,1_799_9,10.0,174.0,5.0,0
1306,1_799_92,10.0,48.0,0,0
1307,1_799_95,10.0,240.0,0,0
1317,1_912_123,6.0,30.0,0,0
1318,1_912_127,4.0,25.0,0,0
1320,1_912_133,1.0,33.0,0,0
1322,1_912_144,20.0,80.0,0,0
1345,1_912_217,8.0,260.0,0,0
1356,1_912_252,14.0,40.0,0,0
1357,1_912_255,10.0,66.0,0,0
1365,1_912_280,65.0,156.0,0,15.0
1369,1_912_290,10.0,50.0,50.0,0
1376,1_912_316,3.0,66.0,0,0
1401,1_912_391,6.0,45.0,0,0
1423,1_912_46,5.0,100.0,0,0
1437,1_912_502,8.0,330.0,0,0
1444,1_912_529,16.0,330.0,330.0,24.0
1447,1_912_534,33.0,30.0,0,0
1458,1_912_57,6.0,20.0,0,0
1468,1_912_60,25.0,33.0,0,0
1490,1_912_669,10.0,66.0,0,0
1493,1_912_677,15.0,80.0,0,0
1494,1_912_683,6.0,66.0,0,0
1499,1_912_71,25.0,35.0,0,150.0
1500,1_912_74,10.0,100.0,0,0
1512,2_216_1685,15.0,33.0,0,0
1517,2_537_657,4.0,33.0,0,0
1518,2_537_678,9.0,99.0,0,0
1519,2_537_698,15.0,50.0,0,0
1523,2_537_778,13.0,12.0,0,0
1524,2_537_800,11.0,10.0,0,0
1526,2_537_839,5.0,66.0,0,0
1528,2_537_879,25.0,33.0,0,0
1529,2_537_899,10.0,116.0,0,0
1530,2_537_920,15.0,48.0,0,0
1537,3_216_1802,15.0,156.0,156.0,0
1550,3_537_1000,9.0,198.0,0,0
1551,3_537_1021,17.0,12.0,0,0
1555,3_537_1101,3.0,12.0,0,0
1556,3_537_1121,5.0,83.0,0,0
1558,3_537_1162,8.0,25.0,15.0,0
1559,3_537_1182,4.0,51.0,0,0
1560,3_537_1202,8.0,48.0,0,0
1562,3_537_1243,2.0,1.0,0,0
1563,3_537_1264,10.0,25.0,0,0
1564,3_537_1286,8.0,48.0,0,0
1565,3_537_1303,4.0,12.0,0,0
1566,3_537_940,11.0,38.0,0,0
1567,3_537_960,8.0,33.0,0,0
1584,4_216_2132,8.0,52.0,78.0,0
1585,4_537_1323,154.0,198.0,30.0,0
1587,4_537_1364,13.0,72.0,0,0
1589,4_537_1404,13.0,14.0,0,0
1590,4_537_1424,33.0,17.0,0,0
1592,4_537_1465,10.0,165.0,0,0
1593,4_537_1485,3.0,99.0,0,0
1596,4_537_1545,4.0,99.0,0,0
1597,4_537_1564,4.0,12.0,0,0
1599,4_537_1606,7.0,9.0,0,0
1600,4_537_1626,4.0,137.0,462.0,0
1601,4_537_1646,10.0,330.0,0,0
1602,4_537_1666,19.0,49.0,0,0
1603,4_537_1687,5.0,83.0,0,0
1605,4_537_1727,8.0,86.0,0,8.0
1607,4_537_1767,33.0,165.0,0,0
1608,4_537_1787,5.0,33.0,0,0
1623,5_216_2308,8.0,78.0,0,0
1627,5_537_1808,10.0,50.0,0,0
1629,5_537_1848,2.0,30.0,0,0
1633,5_537_1929,5.0,33.0,0,0
1634,5_537_1949,8.0,33.0,0,0
1636,6_537_1989,5.0,42.0,42.0,0
1637,6_537_2009,1.0,63.0,0,0
1640,7_537_2070,5.0,33.0,0,0
1642,7_537_2110,18.0,99.0,0,0
1643,7_537_2131,24.0,50.0,0,0
1645,7_537_2171,4.0,54.0,40.0,0
1647,7_537_2211,6.0,132.0,0,0
1655,8_537_2373,9.0,15.0,0,0
1656,8_537_2393,0,231.0,336.0,0
1658,8_537_2433,12.0,66.0,0,0
1659,8_537_2453,8.0,4.0,0,0
1660,8_537_2474,7.0,65.0,0,0
1661,8_537_2494,3.0,15.0,0,0
1665,8_537_2575,39.0,132.0,0,0
1667,8_537_2615,2.0,33.0,0,0
1670,9_537_2675,30.0,249.0,231.0,0
1673,9_537_2737,24.0,84.0,0,0
1674,9_537_2756,3.0,252.0,252.0,0
1675,9_537_2776,3.0,50.0,0,0
1676,9_537_2796,18.0,132.0,0,0
1677,9_537_2817,12.0,198.0,198.0,0
1678,9_537_2837,6.0,90.0,90.0,0
1680,9_537_2877,16.0,132.0,49.0,0
1681,9_537_2897,5.0,130.0,158.0,0
1682,9_537_2917,11.0,165.0,924.0,0
1685,9_537_2978,4.0,20.0,0,0
1686,9_537_2998,6.0,20.0,10.0,0
1687,9_537_3018,3.0,33.0,0,0
1690,9_537_3079,2.0,26.0,0,0
1692,9_537_3119,15.0,100.0,0,0
1693,9_537_3139,4.0,15.0,0,0
