,Household,Homestead,Cropland,Aquaculture land,Other
332,1_287_323,6.0,8.0,0,4.0
333,1_287_325,8.0,43.0,0,0
334,1_287_326,6.0,20.0,0,0
335,1_287_328,10.0,152.0,0,0
336,1_287_329,84.0,126.0,17.0,0
338,1_287_331,10.0,82.0,82.0,0
339,1_287_333,10.0,105.0,105.0,0
340,1_287_334,3.0,24.0,0,0
344,1_287_40,18.0,38.0,0,0
345,1_287_41,5.0,8.0,0,0
346,1_287_43,29.0,65.0,0,0
347,1_287_45,5.0,139.0,0,0
348,1_287_46,5.0,99.0,0,0
349,1_287_48,7.0,8.0,0,0
350,1_287_5,12.0,320.0,0,0
356,1_287_58,10.0,21.0,0,0
357,1_287_6,5.0,422.0,0,30.0
361,1_287_65,28.0,86.0,0,0
362,1_287_66,28.0,84.0,0,0
363,1_287_68,15.0,101.0,164.0,0
366,1_287_73,2.0,1198.0,968.0,42.0
367,1_287_75,2.0,126.0,0,0
368,1_287_77,5.0,84.0,60.0,0
369,1_287_78,84.0,1302.0,995.0,0
370,1_287_8,5.0,420.0,0,12.0
376,1_287_88,7.0,23.0,0,0
377,1_287_90,4.0,27.0,0,0
378,1_287_92,0,168.0,23.0,0
380,1_287_95,1.0,20.0,0,0
382,1_287_98,11.0,73.0,16.0,84.0
385,1_501_101,8.0,119.0,0,0
386,1_501_102,7.0,39.0,0,0
390,1_501_106,9.0,58.0,0,0
391,1_501_107,10.0,80.0,0,8.0
393,1_501_11,4.0,363.0,0,0
394,1_501_110,7.0,119.0,0,0
397,1_501_113,3.0,10.0,0,0
398,1_501_114,33.0,21.0,0,0
399,1_501_115,31.0,141.0,0,0
400,1_501_116,13.0,66.0,0,0
401,1_501_117,22.0,77.0,0,0
402,1_501_118,1.0,48.0,0,0
404,1_501_12,3.0,20.0,0,0
405,1_501_120,3.0,6.0,0,0
407,1_501_122,15.0,78.0,0,0
414,1_501_13,7.0,165.0,0,0
417,1_501_132,16.0,41.0,0,0
419,1_501_135,4.0,82.0,0,0
428,1_501_143,13.0,51.0,0,0
430,1_501_145,6.0,72.0,0,0
434,1_501_149,7.0,33.0,0,0
435,1_501_15,5.0,198.0,0,0
436,1_501_150,3.0,50.0,0,0
446,1_501_16,86.0,11.0,0,0
447,1_501_160,39.0,330.0,644.0,0
449,1_501_162,4.0,50.0,0,0
450,1_501_163,14.0,66.0,0,0
454,1_501_167,33.0,132.0,0,0
455,1_501_168,17.0,50.0,0,0
456,1_501_169,33.0,28.0,0,0
460,1_501_18,33.0,119.0,0,0
461,1_501_19,8.0,151.0,0,0
462,1_501_2,7.0,165.0,0,1.0
463,1_501_20,2.0,66.5,0,0
464,1_501_21,8.0,198.0,0,0
465,1_501_22,8.0,33.0,0,0
466,1_501_24,80.0,25.0,0,0
467,1_501_25,80.0,25.0,0,0
474,1_501_32,10.0,33.0,0,0
476,1_501_34,0,153.0,16.0,0
477,1_501_35,24.0,16.0,0,0
479,1_501_37,12.0,66.0,0,0
480,1_501_38,3.0,198.0,0,0
483,1_501_40,6.0,66.0,0,0
488,1_501_45,3.0,68.0,0,0
489,1_501_46,3.0,66.0,0,0
491,1_501_48,7.0,66.0,0,0
492,1_501_49,10.0,33.0,0,0
493,1_501_5,12.0,196.0,0,7.0
494,1_501_50,10.0,66.0,0,0
499,1_501_55,7.0,64.0,0,0
500,1_501_56,55.0,153.0,0,0
505,1_501_61,42.0,237.0,0,0
508,1_501_64,12.0,165.0,0,0
509,1_501_65,39.0,165.0,0,0
510,1_501_66,5.0,50.0,0,0
511,1_501_68,2.0,33.0,0,0
512,1_501_69,1.0,33.0,0,0
513,1_501_7,2.0,40.0,0,0
514,1_501_70,0,2.0,33.0,0
515,1_501_71,3.0,48.0,0,0
517,1_501_73,2.0,51.0,0,0
518,1_501_75,3.0,33.0,0,0
519,1_501_77,7.0,147.0,0,1.0
520,1_501_78,6.0,189.0,0,0
523,1_501_80,10.0,114.0,0,0
525,1_501_82,8.0,84.0,0,0
526,1_501_83,9.0,57.0,0,0
527,1_501_84,6.0,169.0,0,0
529,1_501_86,3.0,66.0,0,0
532,1_501_89,11.0,87.0,0,0
533,1_501_9,90.0,87.5,0,0
537,1_501_93,33.0,166.0,0,0
544,1_522_1,33.0,267.0,0,0
547,1_522_102,59.0,264.0,0,0
555,1_522_111,38.0,132.0,0,0
556,1_522_112,36.3,231.0,0,0
558,1_522_114,15.0,101.0,0,0
559,1_522_115,23.0,133.0,0,0
563,1_522_12,4.0,124.0,0,0
570,1_522_127,7.0,91.0,0,2.5
572,1_522_129,33.0,9.0,0,0
573,1_522_130,54.0,45.0,0,0
574,1_522_131,30.0,168.0,0,0
575,1_522_132,18.0,63.0,0,0
576,1_522_134,10.0,33.0,0,0
577,1_522_135,5.0,36.0,0,0
578,1_522_136,4.0,66.0,0,0
579,1_522_137,3.3,3.3,0,0
580,1_522_138,9.0,83.0,0,0
581,1_522_139,6.0,20.0,0,0
582,1_522_14,12.0,21.0,0,0
588,1_522_147,30.0,38.0,0,0
590,1_522_149,7.0,15.0,0,0
591,1_522_15,39.0,60.0,0,0
594,1_522_152,6.0,20.0,0,0
595,1_522_153,17.0,67.0,0,0
596,1_522_154,16.0,16.0,0,0
597,1_522_155,6.0,10.0,0,0
598,1_522_156,6.0,161.0,0,0
599,1_522_157,34.0,142.0,0,6.0
600,1_522_16,33.0,34.0,0,0
601,1_522_17,97.0,66.0,0,0
602,1_522_18,15.0,7.0,0,0
606,1_522_22,21.0,69.0,0,0
607,1_522_23,6.0,24.0,0,0
608,1_522_24,58.0,66.0,0,0
610,1_522_26,31.0,10.0,0,0
611,1_522_27,16.0,21.0,0,0
612,1_522_28,120.0,330.0,0,0
613,1_522_29,12.0,66.0,0,0
614,1_522_3,22.0,18.0,0,0
615,1_522_30,27.0,594.0,0,0
617,1_522_32,66.0,189.0,0,0
619,1_522_34,16.0,30.0,0,0
620,1_522_35,33.0,132.0,0,0
623,1_522_38,50.0,99.0,0,0
624,1_522_39,198.0,685.0,0,0
625,1_522_4,15.0,30.0,0,0
