h_idnumber,sum_head,hsex,P1_2a,J4_1a,R2_1,Q2_5a,class_mig,ed_Adult informal education,ed_Class I-IV (Incomplete PE),ed_Class V (Complete PE),ed_Class VI-IX (Incomplete SE),ed_College (11 and 12 grades),ed_HSC (complete HSE),ed_No Schooling,ed_SSC (Complete SE),ed_University level,help_Almost every month,help_Never,help_Only one or two months,help_Some months but not every month,place_sat_Not at all,place_sat_Somewhat,place_sat_Very much,temp_Decrease,temp_Decreased,temp_Increase,temp_Increased,temp_No change,temp_No Change,monsoon_rain_Decrease,monsoon_rain_Decreased,monsoon_rain_Increase,monsoon_rain_Increased,monsoon_rain_No change,monsoon_rain_No Change,rain_Decrease,rain_Decreased,rain_Increase,rain_Increased,rain_No change,rain_No Change,floods_Decrease,floods_Decreased,floods_Increase,floods_Increased,floods_No change,floods_No Change,drought_Decrease,drought_Decreased,drought_Increase,drought_Increased,drought_No change,drought_No Change,age_std
1_287_2828,2,0,0,1,0,0,migrant,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.4130822797714148
1_522_2503,0,0,0,0,0,0,migrant,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.4854288895632337
1_522_2504,10,1,0,0,0,1,migrant,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.22336313184062787
1_522_2505,14,1,0,0,1,1,migrant,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.4105529587853463
1_522_2507,5,1,0,0,0,1,migrant,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6351807511190084
1_522_2509,4,0,0,1,0,0,migrant,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6351807511190084
1_522_2510,5,0,0,0,0,1,migrant,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.8223705780637269
1_522_2511,3,0,0,1,0,0,migrant,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.1110492356737968
1_522_2566,6,0,0,0,1,1,migrant,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.1992795529392324
1_522_2567,3,0,0,0,0,0,migrant,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.1110492356737968
1_522_2572,7,0,0,0,1,0,migrant,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.7125860028829644
1_522_2574,11,0,0,0,1,1,migrant,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0012646604930342537
1_522_2575,10,1,0,0,0,0,migrant,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.26080109722957157
1_522_2619,1,0,0,1,0,0,migrant,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.7474946472858395
