,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,2,1236614.3645541521,0,17219.909924721407,20000.0,0,19,10000,100000,1000000,0.05
0,2,1,1081328.4834507026,0,17404.298369106855,20000.0,0,19,10000,100000,1000000,0.05
0,3,0,206627.6757937244,0,16586.986636394868,20000.0,0,19,10000,100000,1000000,0.05
0,4,1,1130130.5184352896,0,17699.19427655922,20000.0,0,19,10000,100000,1000000,0.05
0,5,2,2304002.0938882683,0,17527.885965355363,20000.0,0,19,10000,100000,1000000,0.05
0,6,0,845764.9047062616,1,17914.782859559684,20000.0,0,19,10000,100000,1000000,0.05
0,7,0,54014.25628245631,0,15819.20676328082,20000.0,0,19,10000,100000,1000000,0.05
0,8,0,1297024.847058589,1,17953.623379834018,20000.0,0,19,10000,100000,1000000,0.05
0,9,1,2479874.903508591,0,17088.500978621847,20000.0,0,19,10000,100000,1000000,0.05
0,10,2,266649.3432803917,0,17141.966034405275,20000.0,0,19,10000,100000,1000000,0.05
0,11,0,464425.506884633,0,16485.318890143357,20000.0,0,19,10000,100000,1000000,0.05
0,12,2,829784.6036071411,0,18516.784481859373,20000.0,0,19,10000,100000,1000000,0.05
0,13,0,0.0,0,16920.467334261488,20000.0,0,19,10000,100000,1000000,0.05
0,14,0,19569925.74724173,0,17601.81147326606,20000.0,0,19,10000,100000,1000000,0.05
0,15,1,348159.64177871717,0,16868.556696419735,20000.0,0,19,10000,100000,1000000,0.05
0,16,0,0.0,0,17835.440661821634,20000.0,0,19,10000,100000,1000000,0.05
0,17,0,2145071.281562521,0,18215.88327326527,20000.0,0,19,10000,100000,1000000,0.05
0,18,1,1041775.1808087876,0,17668.917627070376,20000.0,0,19,10000,100000,1000000,0.05
0,19,0,0.0,0,7051.68879296937,20000.0,0,19,10000,100000,1000000,0.05
0,20,2,24259499.845411994,2,18426.56768637871,20000.0,0,19,10000,100000,1000000,0.05
0,21,0,362021.77757953905,1,18218.391949173998,20000.0,0,19,10000,100000,1000000,0.05
0,22,0,612140.653351634,0,18164.9202968013,20000.0,0,19,10000,100000,1000000,0.05
0,23,0,1855816.1825932558,0,16693.768484780332,20000.0,0,19,10000,100000,1000000,0.05
0,24,1,2339572.637231029,0,18783.764279020383,20000.0,0,19,10000,100000,1000000,0.05
0,25,1,441846.2753229409,1,18585.84209724709,20000.0,0,19,10000,100000,1000000,0.05
0,26,1,786852.539264454,1,18338.7781980606,20000.0,0,19,10000,100000,1000000,0.05
0,27,0,219190.7568826034,0,18258.242459336227,20000.0,0,19,10000,100000,1000000,0.05
