run_number,comm_pattern_nodip,comm_pattern,impact_pattern,mig_util,mig_threshold,success
1,1,0,1,60750,1415000,0
2,1,1,1,29750,1215000,1
3,0,0,0,42250,605000,0
4,1,0,1,47750,1035000,0
5,1,1,1,56250,1295000,1
6,1,0,1,26750,1375000,0
7,1,1,1,51250,1485000,1
8,0,0,0,44750,555000,0
9,1,1,1,72250,1445000,1
10,0,0,0,54750,745000,0
11,0,0,1,57250,1005000,0
12,0,0,1,70250,755000,0
13,0,0,0,61250,505000,0
14,1,0,1,50250,1395000,0
15,0,0,1,37750,1015000,0
16,0,0,0,41250,795000,0
17,0,0,1,49250,725000,0
18,0,0,0,30250,775000,0
19,0,0,0,59750,545000,0
20,0,0,0,58750,665000,0
21,1,1,1,32250,1195000,1
22,0,0,0,31750,625000,0
23,0,0,0,37250,635000,0
24,0,0,0,32750,805000,0
25,0,0,0,36750,515000,0
26,1,1,1,38750,985000,1
27,0,0,1,35750,935000,0
28,0,0,1,68250,705000,0
29,1,0,1,71250,1135000,0
30,0,0,0,31250,645000,0
31,1,0,1,70750,1235000,0
32,0,0,0,55250,615000,0
33,1,0,1,39750,1465000,0
34,0,0,0,65250,585000,0
35,0,0,0,26250,525000,0
36,0,0,1,25750,1025000,0
37,1,1,1,42750,1285000,1
38,0,0,1,74750,905000,0
39,0,0,0,33750,695000,0
40,1,0,1,48750,1325000,0
41,1,0,1,71750,1425000,0
42,1,1,1,38250,1075000,1
43,0,0,1,55750,855000,0
44,1,0,1,36250,1145000,0
45,1,1,1,34250,925000,1
46,0,0,1,67250,785000,0
47,0,0,1,65750,995000,0
48,1,1,1,46250,1335000,1
49,1,1,1,53750,1345000,1
50,1,1,1,43250,1225000,1
51,0,0,0,66750,595000,0
52,1,1,1,25250,1095000,1
53,1,1,1,33250,1365000,1
54,1,0,1,30750,1125000,0
55,1,0,1,43750,1435000,0
56,0,0,1,64750,735000,0
57,1,0,1,27750,1245000,0
58,1,1,1,27250,1455000,1
59,0,0,1,41750,895000,0
60,0,0,1,60250,1065000,0
61,1,0,1,39250,1155000,0
62,0,0,0,63250,535000,0
63,1,1,1,40750,1305000,1
64,0,0,1,59250,965000,0
65,0,0,0,62250,1045000,0
66,1,1,1,57750,865000,1
67,0,0,1,69250,915000,0
68,0,0,1,53250,845000,0
69,0,0,1,73750,1205000,0
70,1,0,1,69750,975000,0
71,1,0,1,40250,1495000,0
72,0,0,1,48250,1085000,0
73,1,0,1,35250,1475000,0
74,1,1,1,73250,1385000,1
75,0,0,1,47250,835000,0
76,1,0,1,61750,1265000,0
77,0,0,0,62750,825000,0
78,0,0,1,63750,1105000,0
79,0,0,1,72750,1175000,0
80,0,0,1,50750,565000,0
81,1,0,1,45250,1055000,0
82,0,0,1,49750,955000,0
83,1,0,1,52750,1275000,0
84,0,0,1,56750,715000,0
85,0,0,1,28750,685000,0
86,1,1,1,64250,1405000,1
87,0,0,1,28250,885000,0
88,1,1,1,45750,1165000,1
89,1,0,1,34750,945000,0
90,0,0,1,67750,1355000,0
91,0,0,0,54250,655000,0
92,0,0,1,74250,1115000,0
93,0,0,1,46750,875000,0
94,0,0,1,52250,765000,0
95,1,0,1,58250,1315000,0
96,0,0,0,68750,675000,0
97,0,0,0,44250,815000,0
98,0,0,0,29250,575000,0
99,1,1,1,66250,1185000,1
