,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,0,695651.7788726425,1,16044.369757636332,20000.0,0,19,10000,10000,1000000,0.15
0,2,0,21961373.92482036,0,17771.516714901627,20000.0,0,19,10000,10000,1000000,0.15
0,3,1,752737.2500443859,2,17608.981236118845,20000.0,0,19,10000,10000,1000000,0.15
0,4,0,13091904.365733441,0,17745.888254260342,20000.0,0,19,10000,10000,1000000,0.15
0,5,1,171309.61783787518,0,18471.65620955701,20000.0,0,19,10000,10000,1000000,0.15
0,6,0,4416.230009626932,0,17929.9596202131,20000.0,0,19,10000,10000,1000000,0.15
0,7,0,114259.66060505169,1,17440.754611391796,20000.0,0,19,10000,10000,1000000,0.15
0,8,1,519390.6948829894,2,17183.13437299057,20000.0,0,19,10000,10000,1000000,0.15
0,9,0,402544.03328318556,0,17668.947593745328,20000.0,0,19,10000,10000,1000000,0.15
0,10,0,384822.38201827114,1,15754.822289888709,20000.0,0,19,10000,10000,1000000,0.15
0,11,1,27607727.520028334,1,18842.30974592482,20000.0,0,19,10000,10000,1000000,0.15
0,12,2,3054785.333039074,2,18478.781608643432,20000.0,0,19,10000,10000,1000000,0.15
0,13,1,38769186.666971214,1,19258.447115488427,20000.0,0,19,10000,10000,1000000,0.15
0,14,0,1245114.0512038553,1,17877.287521851787,20000.0,0,19,10000,10000,1000000,0.15
0,15,0,987393.4422847062,0,18160.71216595058,20000.0,0,19,10000,10000,1000000,0.15
0,16,0,71515.16334795003,1,16447.14219467515,20000.0,0,19,10000,10000,1000000,0.15
0,17,1,780053.0216739872,0,17152.72458627943,20000.0,0,19,10000,10000,1000000,0.15
0,18,0,757911.8972680639,2,17831.017271688972,20000.0,0,19,10000,10000,1000000,0.15
0,19,0,520396.00449781964,1,17352.098478555028,20000.0,0,19,10000,10000,1000000,0.15
0,20,0,936946.0928701697,2,17574.897256509274,20000.0,0,19,10000,10000,1000000,0.15
