,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick
0,1,0,10204739.999763902,1,16981.12624324872,20000.0,0,19
0,2,0,1849070.9599272725,0,16291.271661015799,20000.0,0,19
0,3,0,8670052.163653405,1,18082.531586773337,20000.0,0,19
0,4,0,12648455.62899269,0,17244.588713942936,20000.0,0,19
0,5,0,4535864.406335359,1,16825.61798672564,20000.0,0,19
0,6,0,31180257.876194455,0,17335.108020475793,20000.0,0,19
0,7,0,1553359.6763205344,3,17880.084172857943,20000.0,0,19
0,8,1,7040217.400920232,1,18477.64725573611,20000.0,0,19
0,9,0,25085452.4345169,0,18402.474010290967,20000.0,0,19
0,10,1,8543038.115036285,1,18228.419285086587,20000.0,0,19
0,11,1,1354992.4726066676,1,18879.07846888639,20000.0,0,19
0,12,0,6125459.043077789,2,18640.789133358634,20000.0,0,19
0,13,0,10276842.901427204,1,17633.139977946492,20000.0,0,19
0,14,0,3324068.156090977,1,16317.526870234009,20000.0,0,19
0,15,0,5912858.217856962,1,17476.525444556348,20000.0,0,19
0,16,0,14407847.887353467,0,16837.53023285326,20000.0,0,19
0,17,0,19448834.947322614,0,17300.793996971348,20000.0,0,19
0,18,0,24447333.378035612,0,17165.837146741753,20000.0,0,19
0,19,0,10752418.44162224,0,16871.567258043906,20000.0,0,19
0,20,1,7292011.601025812,1,18254.267248603013,20000.0,0,19
0,21,1,20751634.297152806,2,18865.62748314489,20000.0,0,19
0,22,0,13421918.595101682,0,17075.360235371216,20000.0,0,19
0,23,0,7362929.530136276,0,16896.986622483506,20000.0,0,19
0,24,1,4423072.823446533,1,16756.588509482277,20000.0,0,19
0,25,0,646760.9124623438,2,16300.994948737249,20000.0,0,19
0,26,0,14491391.061957398,0,16927.753580242304,20000.0,0,19
0,27,0,4832235.561163759,1,16992.5959573832,20000.0,0,19
0,28,0,10571622.993973814,1,17168.78788615208,20000.0,0,19
0,29,0,12604121.892561939,0,17798.976978184797,20000.0,0,19
0,30,1,3144914.3333293893,2,18116.363705750737,20000.0,0,19
0,31,0,17220795.74813475,0,18048.055684647807,20000.0,0,19
0,32,0,10407011.192119563,1,17811.712734032957,20000.0,0,19
0,33,0,0.0,0,15397.803935232325,20000.0,0,19
0,34,0,1076371.2475387338,0,15900.332654012536,20000.0,0,19
0,35,2,3315652.7024398316,3,18791.064265898563,20000.0,0,19
0,36,0,7631603.52319066,0,17441.75738523367,20000.0,0,19
0,37,1,865009.9606413012,2,18467.801111762794,20000.0,0,19
0,38,0,12709770.176592492,0,17543.094544195,20000.0,0,19
0,39,0,6848879.481004045,0,16672.9780026887,20000.0,0,19
0,40,0,1168420.6430170122,1,16468.575743829795,20000.0,0,19
0,41,0,3420404.821844596,1,18058.602305756904,20000.0,0,19
0,42,0,2676062.9405502514,1,18566.04584104206,20000.0,0,19
0,43,0,16585677.377957284,0,17730.383856337598,20000.0,0,19
0,44,1,3185474.7208899665,2,16773.763728784947,20000.0,0,19
0,45,1,15496352.656318324,1,18296.153804928686,20000.0,0,19
0,46,0,25854719.6172989,0,17874.583601635604,20000.0,0,19
0,47,1,8986194.396743232,1,17333.165612228746,20000.0,0,19
