,hh_id,migrations,wealth,num_shocked,wtp,wta,tick
0,1,0,2998.472858463002,0,32.383030476821645,462.04789212613895,0
0,2,0,2550.1505306200397,0,741.0032014489309,143.20871002703151,0
0,3,0,5379.741103111317,0,464.6587851064205,794.6822333328487,0
0,4,1,1768.439955344299,0,1131.7113737962914,63.51592072159352,0
0,5,0,5467.472549404683,0,472.92892769113365,306.23450378149937,0
0,6,1,2443.405483691555,0,0.0,30.796408879059904,0
0,7,0,2619.4767489348087,0,402.1071300153964,203.3499504260287,0
0,8,1,1762.1465988473071,0,971.7737190659899,116.44977544198557,0
0,9,0,2224.202281850885,0,153.3972001037925,190.9301099015773,0
0,10,1,2270.6763182743507,0,6.791708729795999,75.81640473158006,0
0,11,1,1178.577928258631,0,390.84539665645667,175.77271193655974,0
0,12,0,2891.581659817338,0,100.00833071162235,288.90574678503015,0
0,13,1,3951.713810619026,0,91.17925894288474,736.0976264704956,0
0,14,0,4399.492879422802,0,337.9276327161297,800.774200269569,0
0,15,1,1299.9209300799826,0,728.5762151176256,57.59266700276964,0
0,16,0,10723.621184801661,0,166.04859366159744,820.1627888124626,0
0,17,1,2043.3609105914356,0,0.0,10.641127893749143,0
0,18,1,1448.8312537746826,0,0.0,9.146322731681614,0
0,19,0,19390.927100601544,0,318.1457123587817,270.8518280959318,0
0,20,0,3860.1171995669097,0,67.35737465353947,22.415743537393862,0
0,21,0,19144.968074717617,0,60.63836604997852,177.68532202632744,0
0,22,1,2832.6742196835867,0,1084.0655093643252,93.92139017218624,0
0,23,1,2824.4734554869847,0,313.2829780396095,37.00581366226823,0
0,24,0,1866.8424809962505,0,459.83329799688397,302.8633582829236,0
0,25,0,6295.8741635451115,0,338.168514488949,303.69306425058704,0
0,26,0,6444.667300215822,0,139.88372749351302,237.42363185904486,0
0,27,1,3296.965061385309,0,723.9775043693467,224.7154393297306,0
0,28,0,18957.503127268323,0,23.444198464965112,89.09700203695215,0
0,29,0,2082.0366965794956,0,366.2539768445266,617.6670784975068,0
0,30,0,14964.274335225946,0,189.36174846692762,242.3378048134314,0
0,31,0,1429.7646141524838,0,376.9304310605632,802.8406720422129,0
0,32,0,3558.3895042685235,0,0.0,16.458078664012405,0
0,33,1,2466.4397673752123,0,409.9770468760769,27.651073616937797,0
0,34,0,2393.5387671667977,0,135.4804950783869,453.79196265718525,0
0,35,1,1345.20493236473,0,523.5489672471767,125.5473263950717,0
0,36,1,2333.927124248041,0,769.064721947328,643.362413801935,0
0,37,0,6968.587804673215,0,313.64656765463235,218.1782354357018,0
0,38,0,2535.3861219207556,0,673.0992804800493,372.0257150406551,0
0,39,0,3001.4728961391384,0,630.5802947003821,239.70262087179543,0
0,40,0,3697.359006149577,0,0.0,15.396839244417665,0
0,41,1,2378.1116356761236,0,0.0,6.926598347163267,0
0,42,0,2950.3613344624473,0,145.703882562679,471.35151625396225,0
0,43,0,4467.750154100643,0,136.51913800456325,129.960840330091,0
0,44,1,2781.66368026712,0,0.0,26.19764654053451,0
0,45,0,4144.994574442218,0,336.66416408482723,345.1314949867559,0
0,46,1,2352.602780432545,0,124.62147928447195,36.833752754631796,0
0,47,1,1779.9965979486014,0,567.9640086121892,74.14941114687753,0
0,48,0,5674.048820235626,0,97.6518034335569,309.04499003684293,0
0,49,1,2309.9416558670546,0,1183.1616087028165,4.715983207442901,0
0,50,1,1179.4462337434254,0,405.86200824535314,869.0118730314647,0
0,51,0,10966.32203573619,0,62.95926180411709,455.0257899299341,0
0,52,1,1855.8827592604066,0,242.46261731826027,73.99132213644248,0
0,53,1,2695.2647905545114,0,0.0,22.772383769740728,0
0,54,0,7235.092915900298,0,47.81144407565324,717.2882450200883,0
0,55,0,24072.340002694997,0,408.31083592873154,413.92812411202493,0
0,56,1,2510.928215533281,0,568.3047993028939,100.57287161647375,0
0,57,0,3230.7689645266355,0,10.001076257131967,148.5680608277812,0
0,58,0,4612.054044214195,0,0.0,3.5587104621318395,0
0,59,1,3195.2947825908204,0,39.56997975324382,110.35843616162055,0
0,60,1,1539.0006733012196,0,620.2196640281516,11.760915531178707,0
0,61,1,3035.519052531203,0,128.77025099648944,180.039479442325,0
0,62,1,1512.826217072734,0,418.94271335629224,94.00675416510137,0
0,63,1,2492.163024418781,0,218.35442920938297,9.805459691302135,0
0,64,1,2269.7541805909955,0,0.0,10.767153856680844,0
0,65,0,12243.611957372315,0,229.77501713415998,48.931533711665395,0
0,66,0,2710.5617171015883,0,286.3976115155839,348.49042079857503,0
0,67,0,13486.251537065038,0,272.2055431169267,254.62510635896342,0
0,68,0,19087.455790134936,0,214.88005157449146,394.31847368051206,0
0,69,1,2983.6166950540287,0,792.0997884273191,73.89025299622254,0
0,70,1,2293.1774481036064,0,828.9668583855497,44.6271849310898,0
0,71,1,1234.5129236310013,0,272.0127283332709,71.31966269964356,0
0,72,1,1911.9211693641566,0,667.3559917028224,215.99235156524963,0
0,73,0,26002.170380809337,0,127.0410744050585,158.68773571201092,0
0,74,0,6520.044149977646,0,371.95626851221743,1262.1881628491788,0
0,75,1,2252.857630665754,0,85.38296429388942,205.02865715917986,0
0,76,1,3540.7485164867994,0,556.5604833473467,51.68746481272925,0
0,77,0,2703.5829433945555,0,306.9934301404838,73.54809008160787,0
0,78,1,2542.7598366541843,0,29.99867743293586,126.96257110304596,0
0,79,0,3481.9601782307714,0,230.4625349441261,167.55303149528515,0
0,80,1,3049.9620317661156,0,0.0,19.569476754983366,0
0,81,0,2198.0154100927307,0,124.28981702188656,172.19777500980592,0
0,82,0,3995.9106613652702,0,255.3993920647579,67.47628955559708,0
0,83,0,2367.874256494254,0,273.28519140671176,223.53084580010153,0
0,84,1,2429.4839649255573,0,412.79690476010177,27.359368538910967,0
0,85,0,10646.642637790088,0,177.33173045176676,6.5349217011647776,0
0,86,1,835.3365459324231,0,0.0,2.035222007746588,0
0,87,0,6023.09656843099,0,252.92171381035016,366.9580795387237,0
0,88,0,5616.151419933459,0,168.3707367394171,308.6837906936216,0
0,89,1,3019.090426635332,0,196.61828633814366,180.2486937456905,0
0,90,0,3503.613279800533,0,437.2048724898612,353.5102758937496,0
0,91,0,10236.90734779819,0,321.6272771257883,1731.6494862824634,0
0,92,1,1964.4634855722325,0,289.514785099377,200.03778732674365,0
0,93,0,2623.838512115099,0,296.56085851030775,286.4690088547618,0
0,94,0,14501.502466502585,0,204.3479220515531,67.41629451009769,0
0,95,1,2562.395861156727,0,1216.644392446995,99.49584454110695,0
0,96,0,19182.364773154703,0,280.11428020082946,57.5741061719941,0
0,97,1,2124.4719460405904,0,70.85535834558057,54.989029934821716,0
0,98,1,2402.074051792987,0,88.08204669279336,102.33526762817007,0
0,99,0,2381.9372385245724,0,640.4199667320256,170.9061203394,0
