,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,0,222015.4699897553,2,17045.55065173915,20000.0,0,19,10000,10000,1000000,0.15
0,2,1,902748.8570322557,1,17739.850582217885,20000.0,0,19,10000,10000,1000000,0.15
0,3,1,1305738.156496371,0,17315.045434010728,20000.0,0,19,10000,10000,1000000,0.15
0,4,0,772582.9188048218,0,16886.43759440995,20000.0,0,19,10000,10000,1000000,0.15
0,5,0,394287.6016283648,0,15479.488944125673,20000.0,0,19,10000,10000,1000000,0.15
0,6,0,0.0,2,17137.99873129146,20000.0,0,19,10000,10000,1000000,0.15
0,7,0,0.0,2,15455.605704001107,20000.0,0,19,10000,10000,1000000,0.15
0,8,1,1064475.4876089124,0,17723.317336137065,20000.0,0,19,10000,10000,1000000,0.15
0,9,1,784848.7201010291,0,17545.607074104533,20000.0,0,19,10000,10000,1000000,0.15
0,10,0,457226.96887445805,0,17752.552734116827,20000.0,0,19,10000,10000,1000000,0.15
0,11,0,1012866.5444188855,2,17691.279408965438,20000.0,0,19,10000,10000,1000000,0.15
0,12,1,676568.4228013869,1,18388.9338373844,20000.0,0,19,10000,10000,1000000,0.15
0,13,0,366298.63496742945,2,16069.413774036995,20000.0,0,19,10000,10000,1000000,0.15
0,14,1,994335.4658631487,0,17940.950379797843,20000.0,0,19,10000,10000,1000000,0.15
0,15,0,1373154.4303703594,1,18344.150712949046,20000.0,0,19,10000,10000,1000000,0.15
0,16,1,1211179.786436377,0,16911.19738302467,20000.0,0,19,10000,10000,1000000,0.15
0,17,2,517917.59265064367,1,18415.243232973997,20000.0,0,19,10000,10000,1000000,0.15
0,18,0,837892.804899619,0,15933.018090662767,20000.0,0,19,10000,10000,1000000,0.15
0,19,0,799241.9678360035,1,18325.437164958366,20000.0,0,19,10000,10000,1000000,0.15
0,20,1,2508978.7181836846,0,17670.022757215847,20000.0,0,19,10000,10000,1000000,0.15
0,21,0,0.0,0,15863.223414176733,20000.0,0,19,10000,10000,1000000,0.15
0,22,0,26053880.942655437,1,18754.002122069967,20000.0,0,19,10000,10000,1000000,0.15
0,23,1,1322437.7651645353,0,18281.51653958244,20000.0,0,19,10000,10000,1000000,0.15
0,24,2,830421.8316261928,0,17389.43969529683,20000.0,0,19,10000,10000,1000000,0.15
0,25,0,630777.3616394582,1,18178.697338790727,20000.0,0,19,10000,10000,1000000,0.15
0,26,1,406761.04241704405,1,17087.654043320286,20000.0,0,19,10000,10000,1000000,0.15
0,27,1,495629.3846096364,1,18210.221455872197,20000.0,0,19,10000,10000,1000000,0.15
0,28,0,0.0,2,14592.897495330086,20000.0,0,19,10000,10000,1000000,0.15
0,29,1,834486.466425128,2,18757.076155721672,20000.0,0,19,10000,10000,1000000,0.15
0,30,0,0.0,0,15764.444104508153,20000.0,0,19,10000,10000,1000000,0.15
0,31,1,862270.4002897405,0,17258.00087145307,20000.0,0,19,10000,10000,1000000,0.15
0,32,0,1836333.82095162,1,18531.73574695742,20000.0,0,19,10000,10000,1000000,0.15
0,33,1,1263267.3073983914,0,18723.25202064239,20000.0,0,19,10000,10000,1000000,0.15
0,34,0,1170199.7857097872,0,17062.89079142618,20000.0,0,19,10000,10000,1000000,0.15
0,35,0,811066.646262696,2,16811.929820387693,20000.0,0,19,10000,10000,1000000,0.15
0,36,0,1081895.0533349658,0,15984.371428602359,20000.0,0,19,10000,10000,1000000,0.15
0,37,0,179788.6845201599,2,18275.15583620619,20000.0,0,19,10000,10000,1000000,0.15
0,38,0,0.0,1,15476.897331949549,20000.0,0,19,10000,10000,1000000,0.15
0,39,1,1191371.0550803805,0,17444.946523536662,20000.0,0,19,10000,10000,1000000,0.15
0,40,1,1160401.1519584535,0,18433.449703303904,20000.0,0,19,10000,10000,1000000,0.15
0,41,2,670946.6635860841,0,17363.471819069717,20000.0,0,19,10000,10000,1000000,0.15
0,42,0,1306050.2953368144,0,17444.091215275235,20000.0,0,19,10000,10000,1000000,0.15
0,43,1,443099.78035427514,0,18026.13612089708,20000.0,0,19,10000,10000,1000000,0.15
0,44,1,3505749.7785773547,1,18413.282849368596,20000.0,0,19,10000,10000,1000000,0.15
