,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,0,0.0,3,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,2,1,772051.0567066321,1,18889.50607814805,20000.0,0,19,10000,100000,1000000,0.25
0,3,1,4980300.2384619275,1,18451.27203430168,20000.0,0,19,10000,100000,1000000,0.25
0,4,2,1911831.6012870492,0,17021.001496204248,20000.0,0,19,10000,100000,1000000,0.25
0,5,0,0.0,1,16183.675518744787,20000.0,0,19,10000,100000,1000000,0.25
0,6,0,936139.6640984842,1,17090.491803288973,20000.0,0,19,10000,100000,1000000,0.25
0,7,0,10536180.513283087,0,18327.938180573172,20000.0,0,19,10000,100000,1000000,0.25
0,8,3,977861.7924719031,0,17238.21483041405,20000.0,0,19,10000,100000,1000000,0.25
0,9,0,832134.5122211778,1,15985.140863816225,20000.0,0,19,10000,100000,1000000,0.25
0,10,2,303525.9626461079,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,11,0,972381.578605054,1,16808.635169589874,20000.0,0,19,10000,100000,1000000,0.25
0,12,0,0.0,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,13,0,457645.74994559854,0,14142.70352010338,20000.0,0,19,10000,100000,1000000,0.25
0,14,1,2786164.802195384,2,18351.63683441735,20000.0,0,19,10000,100000,1000000,0.25
0,15,2,9470274.894951994,2,18401.793341126842,20000.0,0,19,10000,100000,1000000,0.25
0,16,0,549082.215991598,1,17642.261901136484,20000.0,0,19,10000,100000,1000000,0.25
0,17,1,208794.6199285098,3,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,18,1,15606205.37277422,1,19093.467113838342,20000.0,0,19,10000,100000,1000000,0.25
0,19,2,1793323.771397117,1,18832.574458225856,20000.0,0,19,10000,100000,1000000,0.25
0,20,1,1315211.5015109126,1,16524.89208168347,20000.0,0,19,10000,100000,1000000,0.25
0,21,0,754957.9690813147,0,17080.012132326658,20000.0,0,19,10000,100000,1000000,0.25
0,22,2,328839.3968529963,1,18080.949340369367,20000.0,0,19,10000,100000,1000000,0.25
0,23,0,0.0,2,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,24,0,0.0,3,10529.279902308974,20000.0,0,19,10000,100000,1000000,0.25
0,25,1,797025.2857508487,1,18050.07137743281,20000.0,0,19,10000,100000,1000000,0.25
0,26,0,985159.4637606146,1,17046.536777320976,20000.0,0,19,10000,100000,1000000,0.25
0,27,2,1830609.851171728,0,18770.060116432214,20000.0,0,19,10000,100000,1000000,0.25
0,28,0,0.0,1,15337.05763575608,20000.0,0,19,10000,100000,1000000,0.25
0,29,2,2554921.3622040795,0,18322.922828555842,20000.0,0,19,10000,100000,1000000,0.25
0,30,3,1783197.020742583,0,17656.973163872204,20000.0,0,19,10000,100000,1000000,0.25
0,31,2,401711.618916129,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,32,0,92750.35455414376,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,33,0,981305.3810726103,1,18268.35426654635,20000.0,0,19,10000,100000,1000000,0.25
0,34,1,571271.5825764405,1,16910.94897340128,20000.0,0,19,10000,100000,1000000,0.25
0,35,3,631610.3038171723,0,18185.02442689215,20000.0,0,19,10000,100000,1000000,0.25
0,36,2,247000.05295441684,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,37,0,1060910.1409068124,2,18106.485018894786,20000.0,0,19,10000,100000,1000000,0.25
0,38,0,0.0,1,12689.526829909595,20000.0,0,19,10000,100000,1000000,0.25
0,39,0,7761.191032725255,1,16287.922406647689,20000.0,0,19,10000,100000,1000000,0.25
0,40,0,367831.10005910974,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,41,1,871748.6049766471,2,17321.466245225332,20000.0,0,19,10000,100000,1000000,0.25
0,42,1,517483.39371193794,3,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,43,0,932133.413221922,0,18418.04063370681,20000.0,0,19,10000,100000,1000000,0.25
0,44,2,1166015.2511276277,1,17391.18915124084,20000.0,0,19,10000,100000,1000000,0.25
0,45,0,727726.0316212387,1,18315.70913672166,20000.0,0,19,10000,100000,1000000,0.25
0,46,1,10179598.616772873,1,17635.056909618022,20000.0,0,19,10000,100000,1000000,0.25
0,47,0,843805.8721998439,0,18242.62097809042,20000.0,0,19,10000,100000,1000000,0.25
0,48,1,1676967.6301725977,0,17571.9479322235,20000.0,0,19,10000,100000,1000000,0.25
0,49,0,0.0,2,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,50,1,502002.1414419813,1,17612.495852336884,20000.0,0,19,10000,100000,1000000,0.25
0,51,2,12729647.54878722,2,18879.84041559315,20000.0,0,19,10000,100000,1000000,0.25
0,52,1,1101560.7462546213,0,17450.960926584372,20000.0,0,19,10000,100000,1000000,0.25
0,53,1,486074.63942333555,1,18641.843067074784,20000.0,0,19,10000,100000,1000000,0.25
0,54,0,440015.2536801342,3,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,55,0,5405.565461175473,0,16944.47168921323,20000.0,0,19,10000,100000,1000000,0.25
0,56,0,0.0,0,18281.298624831947,20000.0,0,19,10000,100000,1000000,0.25
0,57,0,493506.99652093713,0,17495.945037468176,20000.0,0,19,10000,100000,1000000,0.25
0,58,0,269747.00076375296,0,14244.598691736965,20000.0,0,19,10000,100000,1000000,0.25
0,59,1,742145.50567204,1,17697.599076070084,20000.0,0,19,10000,100000,1000000,0.25
0,60,2,438825.7397028262,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,61,1,19230742.63172347,1,18992.874631667244,20000.0,0,19,10000,100000,1000000,0.25
0,62,0,1689477.2027631116,2,17890.65130656464,20000.0,0,19,10000,100000,1000000,0.25
0,63,3,1959080.6982258596,0,18134.937807120827,20000.0,0,19,10000,100000,1000000,0.25
0,64,0,496064.3856610841,1,16063.338927537761,20000.0,0,19,10000,100000,1000000,0.25
0,65,0,0.0,0,17780.92080319558,20000.0,0,19,10000,100000,1000000,0.25
0,66,1,715252.8248422248,2,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,67,0,212497.1381833941,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,68,0,0.0,0,17180.170071257962,20000.0,0,19,10000,100000,1000000,0.25
0,69,1,379614.3900829988,0,18371.790956165034,20000.0,0,19,10000,100000,1000000,0.25
0,70,1,1779439.5128446377,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,71,0,4879.7602354406845,3,17118.999593645614,20000.0,0,19,10000,100000,1000000,0.25
0,72,0,576101.8324457342,0,16933.730843668494,20000.0,0,19,10000,100000,1000000,0.25
0,73,2,1128698.833817524,0,16595.500274597347,20000.0,0,19,10000,100000,1000000,0.25
0,74,0,1847552.924777076,2,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,75,0,14883.346491327553,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,76,1,7668157.164461764,1,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,77,0,563900.464076831,2,16040.01048645571,20000.0,0,19,10000,100000,1000000,0.25
0,78,0,570698.482676853,2,16205.815280901852,20000.0,0,19,10000,100000,1000000,0.25
0,79,4,530853.9256429593,0,17592.35733926444,20000.0,0,19,10000,100000,1000000,0.25
0,80,2,643668.4633400076,2,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,81,1,1629080.5188466974,0,17004.65335369113,20000.0,0,19,10000,100000,1000000,0.25
0,82,2,370607.2764530651,0,18095.61993421116,20000.0,0,19,10000,100000,1000000,0.25
0,83,0,1889159.9693497114,2,0.0,20000.0,0,19,10000,100000,1000000,0.25
0,84,0,26507027.611733325,0,18478.967286459534,20000.0,0,19,10000,100000,1000000,0.25
0,85,0,1011102.5847874398,2,17204.018271330526,20000.0,0,19,10000,100000,1000000,0.25
0,86,1,396618.363831575,1,18070.779152358024,20000.0,0,19,10000,100000,1000000,0.25
0,87,0,38402813.36831944,1,18303.89857826877,20000.0,0,19,10000,100000,1000000,0.25
