,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick,ag_fac,mig_util,mig_threshold,comm_scale
0,1,0,20441659.735265665,0,18668.235313894937,20000.0,0,19,10000,100000,1000000,0.25
0,2,0,918414.5763451919,1,18679.455541579136,20000.0,0,19,10000,100000,1000000,0.25
0,3,0,0.0,0,18553.735654177708,20000.0,0,19,10000,100000,1000000,0.25
0,4,0,483564.7340109169,0,17657.295679813134,20000.0,0,19,10000,100000,1000000,0.25
0,5,0,422654.1046224301,1,17780.619109358093,20000.0,0,19,10000,100000,1000000,0.25
0,6,0,0.0,0,15236.667808798862,20000.0,0,19,10000,100000,1000000,0.25
0,7,0,700186.848256448,0,16691.108841174722,20000.0,0,19,10000,100000,1000000,0.25
0,8,0,723964.1746897356,0,15804.258299082885,20000.0,0,19,10000,100000,1000000,0.25
0,9,1,176502.61150666408,0,18734.80164894792,20000.0,0,19,10000,100000,1000000,0.25
0,10,0,8009.723218394636,0,11883.740265849656,20000.0,0,19,10000,100000,1000000,0.25
0,11,0,804069.845064008,1,17478.862680643095,20000.0,0,19,10000,100000,1000000,0.25
0,12,0,0.0,0,14136.65657907703,20000.0,0,19,10000,100000,1000000,0.25
0,13,2,2739426.8985430356,0,18551.5282544605,20000.0,0,19,10000,100000,1000000,0.25
0,14,0,474371.7468129563,2,18472.017392031354,20000.0,0,19,10000,100000,1000000,0.25
0,15,1,2328776.4156465046,0,18753.751595842066,20000.0,0,19,10000,100000,1000000,0.25
0,16,0,415396.1492631574,1,17499.607024023306,20000.0,0,19,10000,100000,1000000,0.25
0,17,1,2345546.1070702896,1,18344.97951089626,20000.0,0,19,10000,100000,1000000,0.25
0,18,1,1480592.6959197868,0,17295.238849128982,20000.0,0,19,10000,100000,1000000,0.25
0,19,0,1917765.3911992619,1,17881.66895438165,20000.0,0,19,10000,100000,1000000,0.25
0,20,0,0.0,0,15620.769364306254,20000.0,0,19,10000,100000,1000000,0.25
0,21,0,77049.27574080636,1,18035.656183258114,20000.0,0,19,10000,100000,1000000,0.25
0,22,0,0.0,2,17726.07821343404,20000.0,0,19,10000,100000,1000000,0.25
0,23,0,244411.13967385108,2,18779.637640886624,20000.0,0,19,10000,100000,1000000,0.25
0,24,1,1445666.244759018,1,18559.659905075903,20000.0,0,19,10000,100000,1000000,0.25
0,25,0,0.0,1,16703.368033862527,20000.0,0,19,10000,100000,1000000,0.25
0,26,0,484125.9148308317,1,17008.766956709795,20000.0,0,19,10000,100000,1000000,0.25
0,27,0,928769.1238223462,0,17460.630761587872,20000.0,0,19,10000,100000,1000000,0.25
0,28,1,406713.56414285646,1,18364.83880464662,20000.0,0,19,10000,100000,1000000,0.25
0,29,0,141387.96716314933,1,15968.904370989872,20000.0,0,19,10000,100000,1000000,0.25
0,30,0,16406.927745083696,2,16067.821290847283,20000.0,0,19,10000,100000,1000000,0.25
0,31,3,696254.7426918105,1,18571.61721494379,20000.0,0,19,10000,100000,1000000,0.25
0,32,0,0.0,0,16581.8965896794,20000.0,0,19,10000,100000,1000000,0.25
0,33,0,449008.2432430161,0,17047.227182927265,20000.0,0,19,10000,100000,1000000,0.25
0,34,0,2485508.627521242,0,17950.068989060757,20000.0,0,19,10000,100000,1000000,0.25
0,35,0,0.0,0,14944.684925396976,20000.0,0,19,10000,100000,1000000,0.25
0,36,0,0.0,1,16900.94493738429,20000.0,0,19,10000,100000,1000000,0.25
0,37,0,29326431.755177457,0,18854.087148463772,20000.0,0,19,10000,100000,1000000,0.25
0,38,0,69414.34981951372,1,15742.746759116068,20000.0,0,19,10000,100000,1000000,0.25
0,39,1,497991.10264280275,1,18164.891556786308,20000.0,0,19,10000,100000,1000000,0.25
0,40,1,496559.3603842433,1,18178.384279538233,20000.0,0,19,10000,100000,1000000,0.25
0,41,1,2586062.1317299115,0,18243.608356974935,20000.0,0,19,10000,100000,1000000,0.25
0,42,0,50835.87077733371,1,16535.11442923509,20000.0,0,19,10000,100000,1000000,0.25
0,43,0,244457.53804383252,1,17546.43268795659,20000.0,0,19,10000,100000,1000000,0.25
0,44,0,1439555.6968626154,2,17502.379844093568,20000.0,0,19,10000,100000,1000000,0.25
0,45,0,152351.57880472913,1,17884.902589015,20000.0,0,19,10000,100000,1000000,0.25
0,46,0,150211.74647569007,1,17630.337596292236,20000.0,0,19,10000,100000,1000000,0.25
0,47,0,761208.801344234,2,17268.133107852937,20000.0,0,19,10000,100000,1000000,0.25
0,48,0,1016504.3475280763,0,18686.556037954415,20000.0,0,19,10000,100000,1000000,0.25
0,49,0,0.0,2,8581.825758197565,20000.0,0,19,10000,100000,1000000,0.25
0,50,0,0.0,2,16269.147903718975,20000.0,0,19,10000,100000,1000000,0.25
0,51,0,750475.7450396654,0,15406.144032380776,20000.0,0,19,10000,100000,1000000,0.25
0,52,0,542539.2120534541,0,18055.947762446314,20000.0,0,19,10000,100000,1000000,0.25
0,53,0,395294.49982984655,0,15958.059887514304,20000.0,0,19,10000,100000,1000000,0.25
0,54,0,12452858.125865988,0,18325.640796173928,20000.0,0,19,10000,100000,1000000,0.25
0,55,1,6101165.86329298,1,17833.46804391879,20000.0,0,19,10000,100000,1000000,0.25
0,56,0,920588.6186016666,1,16221.887454814963,20000.0,0,19,10000,100000,1000000,0.25
0,57,3,2050261.1877647606,0,17362.631237902297,20000.0,0,19,10000,100000,1000000,0.25
0,58,0,1293754.5365646551,0,18250.833599715894,20000.0,0,19,10000,100000,1000000,0.25
0,59,0,0.0,0,16704.241658632644,20000.0,0,19,10000,100000,1000000,0.25
0,60,1,245892.67762891084,1,18323.215087033397,20000.0,0,19,10000,100000,1000000,0.25
0,61,0,455364.59721749346,0,17252.92490443896,20000.0,0,19,10000,100000,1000000,0.25
0,62,0,139379.23151729864,1,16758.863100750626,20000.0,0,19,10000,100000,1000000,0.25
0,63,0,22207.317373846323,1,16021.941307844141,20000.0,0,19,10000,100000,1000000,0.25
0,64,1,1444777.2566361346,1,17392.4201153553,20000.0,0,19,10000,100000,1000000,0.25
0,65,0,570637.4737246812,1,18280.7124357168,20000.0,0,19,10000,100000,1000000,0.25
0,66,0,29177.103649166544,0,17613.847052154077,20000.0,0,19,10000,100000,1000000,0.25
0,67,1,505799.5245134301,2,17992.580275045762,20000.0,0,19,10000,100000,1000000,0.25
0,68,1,2291286.7332332265,0,17507.649644832545,20000.0,0,19,10000,100000,1000000,0.25
0,69,2,854620.6879564994,0,18271.5525711706,20000.0,0,19,10000,100000,1000000,0.25
0,70,1,365331.3287242461,1,17342.14676737673,20000.0,0,19,10000,100000,1000000,0.25
0,71,0,230179.7067689658,2,17397.705278843394,20000.0,0,19,10000,100000,1000000,0.25
0,72,0,154631.744892251,3,16330.418974264428,20000.0,0,19,10000,100000,1000000,0.25
0,73,0,0.0,2,15113.083827531169,20000.0,0,19,10000,100000,1000000,0.25
0,74,2,17558995.020418543,2,18322.872405535596,20000.0,0,19,10000,100000,1000000,0.25
0,75,0,914227.1098205097,0,17591.466921546493,20000.0,0,19,10000,100000,1000000,0.25
0,76,1,524468.3459651418,0,16263.33231330545,20000.0,0,19,10000,100000,1000000,0.25
0,77,0,535776.4118450059,2,17153.407367981592,20000.0,0,19,10000,100000,1000000,0.25
0,78,1,1031900.1129511499,0,16983.105398631706,20000.0,0,19,10000,100000,1000000,0.25
0,79,0,780300.5980281364,1,17357.605446436,20000.0,0,19,10000,100000,1000000,0.25
0,80,0,12673282.02140799,0,17895.632601227637,20000.0,0,19,10000,100000,1000000,0.25
0,81,0,160439.8738416648,1,18557.469981484763,20000.0,0,19,10000,100000,1000000,0.25
0,82,0,26339159.841784924,0,17826.75222882892,20000.0,0,19,10000,100000,1000000,0.25
0,83,0,0.0,1,17268.453260611273,20000.0,0,19,10000,100000,1000000,0.25
0,84,0,613908.3516606512,1,16538.870734609547,20000.0,0,19,10000,100000,1000000,0.25
0,85,0,2706614.938509259,0,17528.3795798206,20000.0,0,19,10000,100000,1000000,0.25
0,86,0,0.0,1,17667.76052910119,20000.0,0,19,10000,100000,1000000,0.25
0,87,0,508326.19729444536,1,16840.48487430323,20000.0,0,19,10000,100000,1000000,0.25
0,88,0,0.0,0,17398.891991443747,20000.0,0,19,10000,100000,1000000,0.25
0,89,1,2054289.0179740957,0,18343.23336424545,20000.0,0,19,10000,100000,1000000,0.25
0,90,0,4677.263874632576,0,16380.6759700362,20000.0,0,19,10000,100000,1000000,0.25
0,91,0,610899.5129081716,0,17201.124170391282,20000.0,0,19,10000,100000,1000000,0.25
0,92,0,118239.68610272245,2,17861.868304132593,20000.0,0,19,10000,100000,1000000,0.25
0,93,0,997850.4586123402,1,15270.007597542897,20000.0,0,19,10000,100000,1000000,0.25
0,94,0,311492.0654366927,1,16488.709494924533,20000.0,0,19,10000,100000,1000000,0.25
0,95,0,11266134.526356483,0,18369.91356806255,20000.0,0,19,10000,100000,1000000,0.25
0,96,0,2465.9581202768604,1,18076.40504024823,20000.0,0,19,10000,100000,1000000,0.25
0,97,0,177369.14873992265,2,18044.296527254115,20000.0,0,19,10000,100000,1000000,0.25
0,98,0,0.0,0,16068.205153829818,20000.0,0,19,10000,100000,1000000,0.25
0,99,0,796154.0288136052,2,17068.910446350645,20000.0,0,19,10000,100000,1000000,0.25
0,100,0,39281.71084529778,0,15838.421236038374,20000.0,0,19,10000,100000,1000000,0.25
0,1,0,0.0,1,15824.785047644118,20000.0,0,19,10000,100000,1000000,0.25
0,2,0,384595.6711802869,2,17373.777166990825,20000.0,0,19,10000,100000,1000000,0.25
0,3,0,582905.426639542,3,17336.56422671788,20000.0,0,19,10000,100000,1000000,0.25
0,4,0,331264.7632103164,2,18472.55029356259,20000.0,0,19,10000,100000,1000000,0.25
0,5,0,291333.5341810662,1,18869.800197168064,20000.0,0,19,10000,100000,1000000,0.25
0,6,1,2116328.4266083622,3,18417.6454441177,20000.0,0,19,10000,100000,1000000,0.25
0,7,0,43665.58083541534,3,12729.098802213459,20000.0,0,19,10000,100000,1000000,0.25
0,8,2,607737.6185695004,1,17406.897009902743,20000.0,0,19,10000,100000,1000000,0.25
0,9,0,0.0,0,16288.88947495207,20000.0,0,19,10000,100000,1000000,0.25
0,10,0,847052.8852267086,2,16416.95303124739,20000.0,0,19,10000,100000,1000000,0.25
0,11,0,215117.9538914097,3,18113.732308697992,20000.0,0,19,10000,100000,1000000,0.25
0,12,0,677485.7069416702,2,18255.770086163655,20000.0,0,19,10000,100000,1000000,0.25
0,13,0,729341.8895503546,1,17159.094414582683,20000.0,0,19,10000,100000,1000000,0.25
0,14,0,823445.1015480278,2,17373.657369018867,20000.0,0,19,10000,100000,1000000,0.25
0,15,0,999565.4440682277,2,16016.892173045042,20000.0,0,19,10000,100000,1000000,0.25
0,16,1,793496.8728363672,1,17882.119912823582,20000.0,0,19,10000,100000,1000000,0.25
0,17,0,651515.7522786126,2,17883.892357828052,20000.0,0,19,10000,100000,1000000,0.25
0,18,0,0.0,0,17667.02867129791,20000.0,0,19,10000,100000,1000000,0.25
0,19,0,872688.2268437402,2,17996.452023365175,20000.0,0,19,10000,100000,1000000,0.25
0,20,0,13187437.471192528,0,17871.1682819034,20000.0,0,19,10000,100000,1000000,0.25
0,21,2,5311578.106910751,3,18369.280254397116,20000.0,0,19,10000,100000,1000000,0.25
0,22,0,0.0,2,17272.688719124006,20000.0,0,19,10000,100000,1000000,0.25
0,23,0,0.0,1,17498.19379677645,20000.0,0,19,10000,100000,1000000,0.25
0,24,0,0.0,2,18182.31033302131,20000.0,0,19,10000,100000,1000000,0.25
0,25,0,938958.8715648144,2,18392.217404218423,20000.0,0,19,10000,100000,1000000,0.25
0,26,1,212030.83295439335,1,17183.216363580184,20000.0,0,19,10000,100000,1000000,0.25
0,27,0,77464.54330672423,2,17052.305118097294,20000.0,0,19,10000,100000,1000000,0.25
0,28,0,451601.7664027107,3,17069.416549709007,20000.0,0,19,10000,100000,1000000,0.25
0,29,0,609937.2891415108,1,15855.469496952108,20000.0,0,19,10000,100000,1000000,0.25
0,30,0,196380.35622990088,3,15787.702875231183,20000.0,0,19,10000,100000,1000000,0.25
0,31,0,0.0,3,17956.211926019023,20000.0,0,19,10000,100000,1000000,0.25
0,32,2,445853.03428174026,2,17830.42308017034,20000.0,0,19,10000,100000,1000000,0.25
0,33,0,0.0,2,16445.538411716112,20000.0,0,19,10000,100000,1000000,0.25
0,34,2,3062834.3189590224,0,17592.949073468677,20000.0,0,19,10000,100000,1000000,0.25
0,35,0,0.0,0,13445.105161900878,20000.0,0,19,10000,100000,1000000,0.25
0,36,0,771859.1402701387,0,16728.054431986606,20000.0,0,19,10000,100000,1000000,0.25
0,37,0,323887.33585605567,0,17231.424526857765,20000.0,0,19,10000,100000,1000000,0.25
0,38,0,1772140.5179997983,0,18262.8034096839,20000.0,0,19,10000,100000,1000000,0.25
0,39,0,338020.5678868446,3,18622.679286374325,20000.0,0,19,10000,100000,1000000,0.25
0,40,0,975515.4695713102,1,16122.684699926382,20000.0,0,19,10000,100000,1000000,0.25
0,41,2,975107.0577020062,0,18107.626655203105,20000.0,0,19,10000,100000,1000000,0.25
0,42,0,192785.2469377874,2,16862.609682255814,20000.0,0,19,10000,100000,1000000,0.25
0,43,2,3604994.6366249914,4,18113.32633812512,20000.0,0,19,10000,100000,1000000,0.25
0,44,0,106614.1229248509,1,17150.239897973635,20000.0,0,19,10000,100000,1000000,0.25
0,45,0,0.0,1,15961.889507706153,20000.0,0,19,10000,100000,1000000,0.25
0,46,0,670376.8514498604,2,17974.63830390407,20000.0,0,19,10000,100000,1000000,0.25
0,47,0,178815.08655554376,1,16974.72290917098,20000.0,0,19,10000,100000,1000000,0.25
