,hh_id,migrations,wealth,num_shocked,wtp,wta,found_work,tick
0,1,1,6907063.885950528,1,17086.40800148315,20000.0,0,19
0,2,0,397322.09777416586,2,0.0,20000.0,0,19
0,3,1,12597179.48193518,1,18694.42072933865,20000.0,0,19
0,4,0,635556.5082007371,1,18022.29389934771,20000.0,0,19
0,5,0,27268234.542518742,0,18523.77665199694,20000.0,0,19
0,6,1,431463.49956533697,1,0.0,20000.0,0,19
0,7,0,3936533.3694027653,1,17171.122414629295,20000.0,0,19
0,8,0,6849354.883574077,1,0.0,20000.0,0,19
0,9,0,16595884.151901169,0,17692.852870580784,20000.0,0,19
0,10,1,3863800.4144181693,2,17379.036792365892,20000.0,0,19
0,11,0,1318464.505751355,0,17608.47632052453,20000.0,0,19
0,12,0,10035738.23962858,0,17999.197253773378,20000.0,0,19
0,13,0,6320983.884153038,1,16118.756657435171,20000.0,0,19
0,14,0,25330580.24195253,0,16841.287804471256,20000.0,0,19
0,15,0,11449101.572114408,0,17432.55728760533,20000.0,0,19
0,16,0,12778064.29834261,0,17922.657438529553,20000.0,0,19
0,17,0,9093458.629410194,1,17412.892970327044,20000.0,0,19
0,18,0,961466.7057891618,2,0.0,20000.0,0,19
0,19,0,12226769.10213673,0,17555.01902184759,20000.0,0,19
0,20,0,18968882.872278538,0,18087.27505580518,20000.0,0,19
0,21,0,11941666.671953412,0,16391.945461369967,20000.0,0,19
0,22,0,14912526.261536375,0,16385.069274875616,20000.0,0,19
0,23,0,5343435.643538708,1,16805.635101077813,20000.0,0,19
0,24,0,3589692.035963335,1,17114.216422601196,20000.0,0,19
0,25,0,21106688.54092986,0,18040.735896214017,20000.0,0,19
0,26,0,14731088.271858567,0,17071.014944362185,20000.0,0,19
0,27,0,7440344.643332127,0,17052.09690439838,20000.0,0,19
0,28,0,15121524.263266029,0,17837.155374763974,20000.0,0,19
0,29,2,6541165.4872445,2,17705.20743375953,20000.0,0,19
0,30,0,6958379.9351359075,1,17402.448841841313,20000.0,0,19
0,31,0,14586756.578319576,0,17485.084892306797,20000.0,0,19
0,32,0,1555459.7192736357,0,16504.347785197933,20000.0,0,19
0,33,1,6032662.175652718,1,0.0,20000.0,0,19
0,34,0,7887871.075493019,0,17724.912055105488,20000.0,0,19
0,35,0,32796117.80651821,0,17286.744110602292,20000.0,0,19
0,36,1,4898034.472177028,1,18182.970114912227,20000.0,0,19
0,37,0,18264519.998393003,0,18401.760134837725,20000.0,0,19
0,38,0,11270315.942141,0,16534.722592771617,20000.0,0,19
0,39,0,7028483.521738001,0,17063.630407635017,20000.0,0,19
0,40,0,6771007.782783532,0,16877.68283846596,20000.0,0,19
0,41,0,17098253.057422638,0,18638.055070419072,20000.0,0,19
0,42,0,1307930.068944612,0,17136.736755493457,20000.0,0,19
0,43,0,2869470.197537782,2,0.0,20000.0,0,19
0,44,0,14756783.114037517,0,17484.036943838433,20000.0,0,19
0,45,0,6392712.058718245,0,17045.861293781978,20000.0,0,19
0,46,0,2309324.910290386,1,0.0,20000.0,0,19
0,47,0,7657524.729965095,0,17487.28026231255,20000.0,0,19
0,48,0,22775805.035359964,0,17998.13748847062,20000.0,0,19
0,49,0,8294134.646072938,0,16344.651218689249,20000.0,0,19
0,50,2,2940643.3586573023,2,0.0,20000.0,0,19
0,51,0,12467835.496772848,0,18368.400420365328,20000.0,0,19
0,52,0,21487232.259677928,0,17229.344691251026,20000.0,0,19
0,53,1,6240454.171152791,1,18025.211327041092,20000.0,0,19
0,54,0,17011757.61615904,0,18002.120935353385,20000.0,0,19
0,55,0,13859307.757335914,0,16130.241958610337,20000.0,0,19
0,56,1,3639787.031476599,1,17457.916840904105,20000.0,0,19
0,57,0,6809789.509317902,0,17412.426241509478,20000.0,0,19
0,58,0,1770539.3169149258,1,0.0,20000.0,0,19
0,59,0,8121240.839746787,1,17065.95404711664,20000.0,0,19
0,60,0,3301360.908496432,2,17848.200916256592,20000.0,0,19
0,61,0,11364826.785643324,1,18553.485018602947,20000.0,0,19
0,62,1,3148102.4022125867,2,17639.11297818885,20000.0,0,19
0,63,0,26018135.16358055,0,18429.13425372318,20000.0,0,19
0,64,0,25616341.09988258,0,17502.638397797095,20000.0,0,19
0,65,0,6891978.657145533,1,16405.71932679152,20000.0,0,19
0,66,0,4833200.431961792,0,18093.953440499023,20000.0,0,19
0,67,0,9508878.278366698,1,17364.343023329417,20000.0,0,19
0,68,0,7455095.401871551,0,16696.777180655223,20000.0,0,19
0,69,0,9044262.9469397,0,18322.325235550037,20000.0,0,19
0,70,0,8046356.740775669,0,16058.357677293696,20000.0,0,19
0,71,0,1700242.1781621503,1,18089.249019783823,20000.0,0,19
0,72,0,2999188.09885496,0,16762.438820241514,20000.0,0,19
0,73,0,661277.9109754502,1,0.0,20000.0,0,19
0,74,0,17027343.432768878,0,18550.257591438447,20000.0,0,19
0,75,0,29977734.55190981,0,16739.368633162572,20000.0,0,19
0,76,0,10346283.3770232,1,17355.715856841933,20000.0,0,19
0,77,0,2027526.404304742,0,17313.25519355093,20000.0,0,19
0,78,1,11704950.997185983,1,0.0,20000.0,0,19
0,79,0,7021444.43649458,0,18508.725548067723,20000.0,0,19
0,80,0,18772496.018476646,0,17739.295971933756,20000.0,0,19
0,81,0,9746976.981471943,0,18274.108175561265,20000.0,0,19
0,82,0,19890467.432059947,0,18282.964275358805,20000.0,0,19
0,83,0,4285654.948340292,0,15817.241146894867,20000.0,0,19
0,84,0,9416358.57952655,1,0.0,20000.0,0,19
0,85,1,3732847.878146261,2,17516.872847072755,20000.0,0,19
0,86,0,12674749.79911928,0,17587.481642089835,20000.0,0,19
0,87,0,1420584.4818500278,0,18241.313596274205,20000.0,0,19
0,88,0,16749118.938927658,0,16709.434995346244,20000.0,0,19
0,89,0,20299422.364636254,0,17982.35572144228,20000.0,0,19
0,90,1,3633854.2276160573,1,17355.57684088004,20000.0,0,19
0,91,0,12903800.71921577,0,16947.17641249955,20000.0,0,19
0,92,0,8612221.475961266,0,17327.94026170204,20000.0,0,19
0,93,0,24432611.093907226,0,17024.615834131924,20000.0,0,19
0,94,0,3137038.757610868,1,16475.39196885117,20000.0,0,19
0,95,0,12522354.906372825,0,16764.617548011152,20000.0,0,19
0,96,0,17314938.396219496,0,18442.77368614124,20000.0,0,19
0,97,0,2282480.316631605,1,0.0,20000.0,0,19
0,98,0,11649046.71933284,0,17211.206462860344,20000.0,0,19
0,99,0,11427936.622873751,0,16701.283813277438,20000.0,0,19
0,100,0,9946134.325480206,0,16979.265116675982,20000.0,0,19
0,1,0,3875947.56716962,0,16837.282272706994,20000.0,0,19
0,2,0,1986292.616128671,0,17130.034402838253,20000.0,0,19
0,3,0,22589997.491665263,1,18545.19782112068,20000.0,0,19
0,4,1,16043324.14994878,1,17837.251821993184,20000.0,0,19
0,5,0,1160185.1220718774,2,17883.779309352878,20000.0,0,19
0,6,0,17903535.956672702,0,16952.88537618722,20000.0,0,19
0,7,0,17975374.1443789,0,18078.20007868177,20000.0,0,19
0,8,0,18275956.014508825,0,16684.90111596833,20000.0,0,19
0,9,0,6975378.434641174,0,18387.980444666573,20000.0,0,19
0,10,0,13253864.413077066,0,17348.778962809407,20000.0,0,19
0,11,0,7232375.267570147,0,17462.51599628849,20000.0,0,19
0,12,0,5623284.176155823,0,16182.135886502001,20000.0,0,19
0,13,0,12647941.307570409,0,16736.045675664,20000.0,0,19
0,14,0,26217937.397340134,0,17135.540182713896,20000.0,0,19
0,15,0,18465509.08133196,1,16670.149305314855,20000.0,0,19
0,16,0,11829102.294764642,0,18222.194359203906,20000.0,0,19
0,17,1,3262787.1893561,1,17992.918539984246,20000.0,0,19
0,18,0,21872538.113666873,0,16823.143474388344,20000.0,0,19
0,19,0,14258940.80529523,0,18008.891022780554,20000.0,0,19
0,20,0,33397396.242781688,0,18465.110029032818,20000.0,0,19
0,21,0,9142456.72762217,0,17162.0579502,20000.0,0,19
0,22,0,20786964.690416478,0,18064.967694280826,20000.0,0,19
0,23,0,12723390.017297404,1,16891.32321574193,20000.0,0,19
0,24,0,20105623.457046274,0,18462.09309595529,20000.0,0,19
0,25,0,35241956.53717701,0,17946.713739912164,20000.0,0,19
0,26,0,14509173.958164267,1,16320.841302623763,20000.0,0,19
0,27,0,4885098.97255042,1,17157.531014344513,20000.0,0,19
0,28,0,12140169.279850353,2,18242.43644217925,20000.0,0,19
0,29,1,300525.95766081696,2,18188.306309024974,20000.0,0,19
0,30,0,17075849.95527384,0,17698.697764149034,20000.0,0,19
0,31,0,36660535.29591141,0,18097.104389280044,20000.0,0,19
0,32,0,2038512.2818133046,1,18432.991101521027,20000.0,0,19
0,33,0,18700899.29339483,1,18120.828132496907,20000.0,0,19
0,34,0,16635830.861207198,0,18322.953211994292,20000.0,0,19
0,35,0,7948324.054426559,1,17859.735083213764,20000.0,0,19
0,36,1,14202803.165353762,1,17988.910389297005,20000.0,0,19
0,37,0,5638223.361287025,1,16706.10678044876,20000.0,0,19
0,38,1,5280009.955125358,2,16775.846084587472,20000.0,0,19
0,39,0,853931.3282984594,0,15522.386212582054,20000.0,0,19
0,40,0,32504017.411424488,0,17795.32305238885,20000.0,0,19
0,41,0,5704276.4294530125,0,17285.699858457643,20000.0,0,19
0,42,0,11053543.104958175,0,17256.839317401653,20000.0,0,19
0,43,0,23120936.965507302,0,18256.521788593913,20000.0,0,19
0,44,0,24595911.548612136,1,17365.639405792674,20000.0,0,19
0,45,0,3421522.2623158577,3,17843.523505600926,20000.0,0,19
